Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,116.360001,119.370003,114.260002,116.449997,115.305450,3064500
2020-02-04,121.970001,122.099998,116.709999,118.000000,116.840225,3308000
2020-02-05,119.500000,120.820000,117.610001,118.260002,117.097672,2455000
2020-02-06,118.910004,120.300003,116.599998,116.669998,115.523293,2518700
2020-02-07,113.370003,114.309998,110.519997,111.550003,110.453621,5071200
2020-02-10,110.779999,111.180000,109.519997,109.699997,108.621796,2737600
2020-02-11,111.059998,113.980003,110.250000,113.059998,111.948776,3238600
2020-02-12,114.570000,118.029999,114.459999,117.230003,116.077797,3994700
2020-02-13,115.500000,115.980003,113.430000,113.620003,112.503273,3140500
2020-02-14,113.349998,113.620003,112.440002,113.160004,112.047798,2555700
2020-02-18,112.489998,112.760002,110.709999,111.410004,110.314995,2977800
2020-02-19,111.209999,112.269997,110.669998,111.010002,109.918922,2531900
2020-02-20,110.870003,110.989998,109.419998,109.800003,108.720818,2867900
2020-02-21,108.839996,109.059998,105.150002,106.110001,105.067085,3352400
2020-02-24,99.949997,101.000000,96.389999,96.610001,95.660454,7476900
2020-02-25,97.779999,98.360001,89.290001,89.550003,88.669853,5906100
2020-02-26,90.440002,90.980003,81.820000,82.339996,81.530708,9748000
2020-02-27,79.510002,80.570000,70.500000,77.000000,76.243195,14785900
2020-02-28,73.919998,81.360001,73.480003,80.410004,79.619682,9924700
2020-03-02,81.500000,81.510002,76.779999,80.559998,79.768204,7890200
2020-03-03,81.760002,81.940002,76.779999,78.190002,77.421501,7591300
2020-03-04,79.949997,80.150002,75.320000,79.360001,78.580002,10264600
2020-03-05,75.029999,75.919998,64.180000,65.779999,65.779999,16079000
2020-03-06,62.700001,70.330002,60.360001,65.010002,65.010002,16949000
2020-03-09,56.230000,56.299999,47.360001,48.270000,48.270000,19180300
2020-03-10,51.029999,52.700001,40.200001,51.669998,51.669998,30322600
2020-03-11,48.560001,51.000000,41.200001,44.369999,44.369999,23724700
2020-03-12,34.000000,39.560001,29.010000,30.270000,30.270000,28866300
2020-03-13,37.009998,37.340000,28.610001,32.330002,32.330002,27483000
2020-03-16,29.900000,35.480000,29.280001,29.940001,29.940001,25379100
2020-03-17,31.219999,31.440001,26.830000,27.660000,27.660000,18129200
